time,key
2021-06-11T18:30:38.002,"{}"
2021-06-11T18:30:38.006,"{}"
2021-06-11T18:30:38.011,"{}"
2021-06-11T18:30:38.014,"{}"
2021-06-11T18:30:38.019,"{}"
2021-06-11T18:30:38.023,"{}"
2021-06-11T18:30:38.027,"{}"
2021-06-11T18:30:38.031,"{}"
2021-06-11T18:30:38.035,"{}"
2021-06-11T18:30:38.040,"{}"
2021-06-11T18:30:38.044,"{}"
2021-06-11T18:30:38.049,"{}"
2021-06-11T18:30:38.053,"{}"
2021-06-11T18:30:38.058,"{}"
2021-06-11T18:30:38.062,"{}"
2021-06-11T18:30:38.066,"{}"
2021-06-11T18:30:38.070,"{}"
2021-06-11T18:30:38.074,"{}"
2021-06-11T18:30:38.078,"{}"
2021-06-11T18:30:38.082,"{}"
2021-06-11T18:30:38.085,"{}"
2021-06-11T18:30:38.090,"{}"
2021-06-11T18:30:38.094,"{}"
2021-06-11T18:30:38.098,"{}"
2021-06-11T18:30:38.103,"{}"
2021-06-11T18:30:38.107,"{}"
2021-06-11T18:30:38.110,"{}"
2021-06-11T18:30:38.114,"{}"
2021-06-11T18:30:38.119,"{}"
2021-06-11T18:30:38.123,"{}"
2021-06-11T18:30:38.127,"{}"
2021-06-11T18:30:38.130,"{}"
2021-06-11T18:30:38.134,"{}"
2021-06-11T18:30:38.140,"{}"
2021-06-11T18:30:38.144,"{}"
2021-06-11T18:30:38.149,"{}"
2021-06-11T18:30:38.154,"{}"
2021-06-11T18:30:38.157,"{}"
2021-06-11T18:30:38.161,"{}"
2021-06-11T18:30:38.166,"{}"
2021-06-11T18:30:38.171,"{}"
2021-06-11T18:30:38.175,"{}"
2021-06-11T18:30:38.178,"{}"
2021-06-11T18:30:38.183,"{}"
2021-06-11T18:30:38.188,"{}"
2021-06-11T18:30:38.191,"{}"
2021-06-11T18:30:38.197,"{}"
2021-06-11T18:30:38.201,"{}"
2021-06-11T18:30:38.204,"{}"
2021-06-11T18:30:38.209,"{}"
2021-06-11T18:30:38.213,"{}"
2021-06-11T18:30:38.219,"{}"
2021-06-11T18:30:38.222,"{}"
2021-06-11T18:30:38.226,"{}"
2021-06-11T18:30:38.230,"{}"
2021-06-11T18:30:38.236,"{}"
2021-06-11T18:30:38.241,"{}"
2021-06-11T18:30:38.246,"{}"
2021-06-11T18:30:38.250,"{}"
2021-06-11T18:30:38.253,"{}"
2021-06-11T18:30:38.258,"{}"
2021-06-11T18:30:38.263,"{}"
2021-06-11T18:30:38.267,"{}"
2021-06-11T18:30:38.271,"{}"
2021-06-11T18:30:38.276,"{}"
2021-06-11T18:30:38.280,"{}"
2021-06-11T18:30:38.283,"{}"
2021-06-11T18:30:38.287,"{}"
2021-06-11T18:30:38.292,"{}"
2021-06-11T18:30:38.296,"{}"
2021-06-11T18:30:38.299,"{}"
2021-06-11T18:30:38.304,"{}"
2021-06-11T18:30:38.309,"{}"
2021-06-11T18:30:38.313,"{}"
2021-06-11T18:30:38.317,"{}"
2021-06-11T18:30:38.323,"{}"
2021-06-11T18:30:38.327,"{}"
2021-06-11T18:30:38.330,"{}"
2021-06-11T18:30:38.336,"{}"
2021-06-11T18:30:38.339,"{}"
2021-06-11T18:30:38.343,"{}"
2021-06-11T18:30:38.348,"{}"
2021-06-11T18:30:38.353,"{}"
2021-06-11T18:30:38.357,"{}"
2021-06-11T18:30:38.360,"{}"
2021-06-11T18:30:38.365,"{}"
2021-06-11T18:30:38.369,"{}"
2021-06-11T18:30:38.371,"{}"
2021-06-11T18:30:38.377,"{}"
2021-06-11T18:30:38.381,"{}"
2021-06-11T18:30:38.385,"{}"
2021-06-11T18:30:38.389,"{}"
2021-06-11T18:30:38.394,"{}"
2021-06-11T18:30:38.398,"{}"
2021-06-11T18:30:38.403,"{}"
2021-06-11T18:30:38.407,"{}"
2021-06-11T18:30:38.411,"{}"
2021-06-11T18:30:38.414,"{}"
2021-06-11T18:30:38.418,"{}"
2021-06-11T18:30:38.423,"{}"
2021-06-11T18:30:38.428,"{}"
2021-06-11T18:30:38.432,"{}"
2021-06-11T18:30:38.437,"{}"
2021-06-11T18:30:38.443,"{}"
2021-06-11T18:30:38.446,"{}"
2021-06-11T18:30:38.451,"{}"
2021-06-11T18:30:38.455,"{}"
2021-06-11T18:30:38.460,"{}"
2021-06-11T18:30:38.464,"{}"
2021-06-11T18:30:38.468,"{}"
2021-06-11T18:30:38.473,"{}"
2021-06-11T18:30:38.477,"{}"
2021-06-11T18:30:38.483,"{}"
2021-06-11T18:30:38.488,"{}"
2021-06-11T18:30:38.494,"{}"
2021-06-11T18:30:38.497,"{}"
2021-06-11T18:30:38.501,"{}"
2021-06-11T18:30:38.505,"{}"
2021-06-11T18:30:38.510,"{}"
2021-06-11T18:30:38.514,"{}"
2021-06-11T18:30:38.519,"{}"
2021-06-11T18:30:38.522,"{}"
2021-06-11T18:30:38.527,"{}"
2021-06-11T18:30:38.533,"{}"
2021-06-11T18:30:38.538,"{}"
2021-06-11T18:30:38.541,"{}"
2021-06-11T18:30:38.546,"{}"
2021-06-11T18:30:38.550,"{}"
2021-06-11T18:30:38.557,"{}"
