time,mouse_key
2021-06-11T18:30:38.000,"{}"
2021-06-11T18:30:38.004,"{}"
2021-06-11T18:30:38.010,"{}"
2021-06-11T18:30:38.014,"{}"
2021-06-11T18:30:38.019,"{}"
2021-06-11T18:30:38.022,"{}"
2021-06-11T18:30:38.026,"{}"
2021-06-11T18:30:38.030,"{}"
2021-06-11T18:30:38.033,"{}"
2021-06-11T18:30:38.038,"{}"
2021-06-11T18:30:38.042,"{}"
2021-06-11T18:30:38.047,"{}"
2021-06-11T18:30:38.050,"{}"
2021-06-11T18:30:38.056,"{}"
2021-06-11T18:30:38.060,"{}"
2021-06-11T18:30:38.064,"{}"
2021-06-11T18:30:38.068,"{}"
2021-06-11T18:30:38.072,"{}"
2021-06-11T18:30:38.076,"{}"
2021-06-11T18:30:38.080,"{}"
2021-06-11T18:30:38.084,"{}"
2021-06-11T18:30:38.088,"{}"
2021-06-11T18:30:38.093,"{}"
2021-06-11T18:30:38.098,"{}"
2021-06-11T18:30:38.103,"{}"
2021-06-11T18:30:38.107,"{}"
2021-06-11T18:30:38.110,"{}"
2021-06-11T18:30:38.114,"{}"
2021-06-11T18:30:38.119,"{}"
2021-06-11T18:30:38.123,"{}"
2021-06-11T18:30:38.127,"{}"
2021-06-11T18:30:38.131,"{}"
2021-06-11T18:30:38.135,"{}"
2021-06-11T18:30:38.140,"{}"
2021-06-11T18:30:38.145,"{}"
2021-06-11T18:30:38.149,"{}"
2021-06-11T18:30:38.155,"{}"
2021-06-11T18:30:38.157,"{}"
2021-06-11T18:30:38.161,"{}"
2021-06-11T18:30:38.166,"{}"
2021-06-11T18:30:38.171,"{}"
2021-06-11T18:30:38.175,"{}"
2021-06-11T18:30:38.178,"{}"
2021-06-11T18:30:38.183,"{}"
2021-06-11T18:30:38.188,"{}"
2021-06-11T18:30:38.191,"{}"
2021-06-11T18:30:38.197,"{}"
2021-06-11T18:30:38.201,"{}"
2021-06-11T18:30:38.203,"{}"
2021-06-11T18:30:38.209,"{}"
2021-06-11T18:30:38.212,"{}"
2021-06-11T18:30:38.217,"{}"
2021-06-11T18:30:38.220,"{}"
2021-06-11T18:30:38.224,"{}"
2021-06-11T18:30:38.229,"{}"
2021-06-11T18:30:38.234,"{}"
2021-06-11T18:30:38.237,"{}"
2021-06-11T18:30:38.242,"{}"
2021-06-11T18:30:38.246,"{}"
2021-06-11T18:30:38.250,"{}"
2021-06-11T18:30:38.254,"{}"
2021-06-11T18:30:38.258,"{}"
2021-06-11T18:30:38.263,"{}"
2021-06-11T18:30:38.267,"{}"
2021-06-11T18:30:38.271,"{}"
2021-06-11T18:30:38.276,"{}"
2021-06-11T18:30:38.280,"{}"
2021-06-11T18:30:38.283,"{}"
2021-06-11T18:30:38.287,"{}"
2021-06-11T18:30:38.292,"{}"
2021-06-11T18:30:38.296,"{}"
2021-06-11T18:30:38.299,"{}"
2021-06-11T18:30:38.305,"{}"
2021-06-11T18:30:38.309,"{}"
2021-06-11T18:30:38.313,"{}"
2021-06-11T18:30:38.317,"{}"
2021-06-11T18:30:38.324,"{}"
2021-06-11T18:30:38.328,"{}"
2021-06-11T18:30:38.330,"{}"
2021-06-11T18:30:38.336,"{}"
2021-06-11T18:30:38.340,"{}"
2021-06-11T18:30:38.343,"{}"
2021-06-11T18:30:38.348,"{}"
2021-06-11T18:30:38.353,"{}"
2021-06-11T18:30:38.357,"{}"
2021-06-11T18:30:38.360,"{}"
2021-06-11T18:30:38.365,"{}"
2021-06-11T18:30:38.369,"{}"
2021-06-11T18:30:38.371,"{}"
2021-06-11T18:30:38.376,"{}"
2021-06-11T18:30:38.381,"{}"
2021-06-11T18:30:38.385,"{}"
2021-06-11T18:30:38.389,"{}"
2021-06-11T18:30:38.394,"{}"
2021-06-11T18:30:38.399,"{}"
2021-06-11T18:30:38.404,"{}"
2021-06-11T18:30:38.407,"{}"
2021-06-11T18:30:38.411,"{}"
2021-06-11T18:30:38.415,"{}"
2021-06-11T18:30:38.418,"{}"
2021-06-11T18:30:38.423,"{}"
2021-06-11T18:30:38.427,"{}"
2021-06-11T18:30:38.431,"{}"
2021-06-11T18:30:38.437,"{}"
2021-06-11T18:30:38.443,"{}"
2021-06-11T18:30:38.447,"{}"
2021-06-11T18:30:38.451,"{}"
2021-06-11T18:30:38.455,"{}"
2021-06-11T18:30:38.460,"{}"
2021-06-11T18:30:38.464,"{}"
2021-06-11T18:30:38.468,"{}"
2021-06-11T18:30:38.473,"{}"
2021-06-11T18:30:38.477,"{}"
2021-06-11T18:30:38.483,"{}"
2021-06-11T18:30:38.488,"{}"
2021-06-11T18:30:38.493,"{}"
2021-06-11T18:30:38.498,"{}"
2021-06-11T18:30:38.501,"{}"
2021-06-11T18:30:38.504,"{}"
2021-06-11T18:30:38.510,"{}"
2021-06-11T18:30:38.513,"{}"
2021-06-11T18:30:38.517,"{}"
2021-06-11T18:30:38.521,"{}"
2021-06-11T18:30:38.526,"{}"
2021-06-11T18:30:38.529,"{}"
2021-06-11T18:30:38.534,"{}"
2021-06-11T18:30:38.539,"{}"
2021-06-11T18:30:38.542,"{}"
2021-06-11T18:30:38.548,"{}"
2021-06-11T18:30:38.553,"{}"
2021-06-11T18:30:38.557,"{}"
2021-06-11T18:30:38.560,"{}"
2021-06-11T18:30:38.565,"{}"
2021-06-11T18:30:38.568,"{}"
2021-06-11T18:30:38.574,"{}"
2021-06-11T18:30:38.577,"{}"
2021-06-11T18:30:38.581,"{}"
2021-06-11T18:30:38.585,"{}"
2021-06-11T18:30:38.591,"{}"
2021-06-11T18:30:38.594,"{}"
2021-06-11T18:30:38.597,"{}"
2021-06-11T18:30:38.602,"{}"
2021-06-11T18:30:38.606,"{}"
2021-06-11T18:30:38.610,"{}"
2021-06-11T18:30:38.614,"{}"
2021-06-11T18:30:38.619,"{}"
2021-06-11T18:30:38.623,"{}"
2021-06-11T18:30:38.626,"{}"
2021-06-11T18:30:38.632,"{}"
2021-06-11T18:30:38.636,"{}"
2021-06-11T18:30:38.640,"{}"
2021-06-11T18:30:38.644,"{}"
2021-06-11T18:30:38.648,"{}"
2021-06-11T18:30:38.652,"{}"
2021-06-11T18:30:38.657,"{}"
2021-06-11T18:30:38.662,"{}"
2021-06-11T18:30:38.667,"{}"
2021-06-11T18:30:38.670,"{}"
2021-06-11T18:30:38.674,"{}"
2021-06-11T18:30:38.680,"{}"
2021-06-11T18:30:38.684,"{}"
2021-06-11T18:30:38.689,"{}"
2021-06-11T18:30:38.693,"{}"
2021-06-11T18:30:38.697,"{}"
2021-06-11T18:30:38.703,"{}"
2021-06-11T18:30:38.707,"{}"
2021-06-11T18:30:38.711,"{}"
2021-06-11T18:30:38.716,"{}"
2021-06-11T18:30:38.720,"{}"
2021-06-11T18:30:38.723,"{}"
2021-06-11T18:30:38.727,"{}"
2021-06-11T18:30:38.731,"{}"
2021-06-11T18:30:38.736,"{}"
2021-06-11T18:30:38.740,"{}"
2021-06-11T18:30:38.743,"{}"
2021-06-11T18:30:38.749,"{}"
2021-06-11T18:30:38.752,"{}"
2021-06-11T18:30:38.756,"{}"
2021-06-11T18:30:38.761,"{}"
2021-06-11T18:30:38.767,"{}"
2021-06-11T18:30:38.769,"{}"
2021-06-11T18:30:38.774,"{}"
2021-06-11T18:30:38.779,"{}"
2021-06-11T18:30:38.784,"{}"
2021-06-11T18:30:38.788,"{}"
2021-06-11T18:30:38.791,"{}"
2021-06-11T18:30:38.797,"{}"
2021-06-11T18:30:38.801,"{}"
2021-06-11T18:30:38.805,"{}"
2021-06-11T18:30:38.809,"{}"
2021-06-11T18:30:38.813,"{}"
2021-06-11T18:30:38.817,"{}"
2021-06-11T18:30:38.822,"{}"
2021-06-11T18:30:38.826,"{}"
2021-06-11T18:30:38.830,"{}"
2021-06-11T18:30:38.833,"{}"
2021-06-11T18:30:38.837,"{}"
2021-06-11T18:30:38.842,"{}"
2021-06-11T18:30:38.848,"{}"
2021-06-11T18:30:38.851,"{}"
2021-06-11T18:30:38.855,"{}"
2021-06-11T18:30:38.860,"{}"
2021-06-11T18:30:38.866,"{}"
2021-06-11T18:30:38.870,"{}"
2021-06-11T18:30:38.876,"{}"
2021-06-11T18:30:38.879,"{}"
2021-06-11T18:30:38.883,"{}"
2021-06-11T18:30:38.887,"{}"
2021-06-11T18:30:38.892,"{}"
2021-06-11T18:30:38.897,"{}"
2021-06-11T18:30:38.901,"{}"
2021-06-11T18:30:38.904,"{}"
2021-06-11T18:30:38.908,"{}"
2021-06-11T18:30:38.912,"{}"
2021-06-11T18:30:38.917,"{}"
2021-06-11T18:30:38.921,"{}"
2021-06-11T18:30:38.924,"{}"
2021-06-11T18:30:38.930,"{}"
2021-06-11T18:30:38.935,"{}"
2021-06-11T18:30:38.940,"{}"
2021-06-11T18:30:38.943,"{}"
2021-06-11T18:30:38.948,"{}"
2021-06-11T18:30:38.952,"{}"
2021-06-11T18:30:38.956,"{}"
2021-06-11T18:30:38.959,"{}"
2021-06-11T18:30:38.965,"{}"
2021-06-11T18:30:38.969,"{}"
2021-06-11T18:30:38.974,"{}"
2021-06-11T18:30:38.979,"{}"
2021-06-11T18:30:38.982,"{}"
2021-06-11T18:30:38.987,"{}"
2021-06-11T18:30:38.991,"{}"
2021-06-11T18:30:38.996,"{}"
2021-06-11T18:30:39.000,"{}"
2021-06-11T18:30:39.005,"{}"
2021-06-11T18:30:39.010,"{}"
2021-06-11T18:30:39.015,"{}"
2021-06-11T18:30:39.020,"{}"
2021-06-11T18:30:39.023,"{}"
2021-06-11T18:30:39.027,"{}"
2021-06-11T18:30:39.031,"{}"
2021-06-11T18:30:39.036,"{}"
2021-06-11T18:30:39.040,"{}"
2021-06-11T18:30:39.042,"{}"
2021-06-11T18:30:39.048,"{}"
2021-06-11T18:30:39.051,"{}"
2021-06-11T18:30:39.055,"{}"
2021-06-11T18:30:39.060,"{}"
2021-06-11T18:30:39.063,"{}"
