time,mouse_key
2021-06-07T14:52:37.496,"{}"
2021-06-07T14:52:37.500,"{}"
2021-06-07T14:52:37.505,"{}"
2021-06-07T14:52:37.509,"{}"
2021-06-07T14:52:37.513,"{}"
2021-06-07T14:52:37.517,"{}"
2021-06-07T14:52:37.522,"{}"
2021-06-07T14:52:37.527,"{}"
2021-06-07T14:52:37.531,"{}"
2021-06-07T14:52:37.534,"{}"
2021-06-07T14:52:37.538,"{}"
2021-06-07T14:52:37.543,"{}"
2021-06-07T14:52:37.547,"{}"
2021-06-07T14:52:37.551,"{}"
2021-06-07T14:52:37.555,"{}"
2021-06-07T14:52:37.560,"{}"
2021-06-07T14:52:37.564,"{}"
2021-06-07T14:52:37.569,"{}"
2021-06-07T14:52:37.573,"{}"
2021-06-07T14:52:37.577,"{}"
2021-06-07T14:52:37.581,"{}"
2021-06-07T14:52:37.585,"{}"
2021-06-07T14:52:37.589,"{}"
2021-06-07T14:52:37.593,"{}"
2021-06-07T14:52:37.597,"{}"
2021-06-07T14:52:37.601,"{}"
2021-06-07T14:52:37.605,"{}"
2021-06-07T14:52:37.611,"{}"
2021-06-07T14:52:37.614,"{}"
2021-06-07T14:52:37.618,"{}"
2021-06-07T14:52:37.622,"{}"
2021-06-07T14:52:37.626,"{}"
2021-06-07T14:52:37.630,"{}"
2021-06-07T14:52:37.634,"{}"
2021-06-07T14:52:37.640,"{}"
2021-06-07T14:52:37.643,"{}"
2021-06-07T14:52:37.647,"{}"
2021-06-07T14:52:37.651,"{}"
2021-06-07T14:52:37.655,"{}"
2021-06-07T14:52:37.659,"{}"
2021-06-07T14:52:37.663,"{}"
2021-06-07T14:52:37.667,"{}"
2021-06-07T14:52:37.671,"{}"
2021-06-07T14:52:37.676,"{}"
2021-06-07T14:52:37.680,"{}"
2021-06-07T14:52:37.684,"{}"
2021-06-07T14:52:37.688,"{}"
2021-06-07T14:52:37.692,"{}"
2021-06-07T14:52:37.696,"{}"
2021-06-07T14:52:37.700,"{}"
2021-06-07T14:52:37.704,"{}"
2021-06-07T14:52:37.708,"{}"
2021-06-07T14:52:37.712,"{}"
2021-06-07T14:52:37.716,"{}"
2021-06-07T14:52:37.720,"{}"
2021-06-07T14:52:37.725,"{}"
2021-06-07T14:52:37.729,"{}"
2021-06-07T14:52:37.734,"{}"
2021-06-07T14:52:37.738,"{}"
2021-06-07T14:52:37.742,"{}"
2021-06-07T14:52:37.746,"{}"
2021-06-07T14:52:37.751,"{}"
2021-06-07T14:52:37.757,"{}"
2021-06-07T14:52:37.760,"{}"
2021-06-07T14:52:37.765,"{}"
2021-06-07T14:52:37.769,"{}"
2021-06-07T14:52:37.773,"{}"
2021-06-07T14:52:37.777,"{}"
2021-06-07T14:52:37.781,"{}"
2021-06-07T14:52:37.785,"{}"
2021-06-07T14:52:37.788,"{}"
2021-06-07T14:52:37.792,"{}"
2021-06-07T14:52:37.796,"{}"
2021-06-07T14:52:37.801,"{}"
2021-06-07T14:52:37.807,"{}"
2021-06-07T14:52:37.809,"{}"
2021-06-07T14:52:37.813,"{}"
2021-06-07T14:52:37.817,"{}"
2021-06-07T14:52:37.821,"{}"
2021-06-07T14:52:37.825,"{}"
2021-06-07T14:52:37.829,"{}"
2021-06-07T14:52:37.833,"{}"
2021-06-07T14:52:37.837,"{}"
2021-06-07T14:52:37.841,"{}"
2021-06-07T14:52:37.845,"{}"
2021-06-07T14:52:37.849,"{}"
